iter	Passed	Remaining
0	1	153
1	2	140
2	4	130
3	4	116
4	5	113
5	7	112
6	8	112
7	9	112
8	12	121
9	15	143
10	17	141
11	18	138
12	20	135
13	21	131
14	22	128
15	23	124
16	24	121
17	27	123
18	28	121
19	30	120
20	31	118
21	32	115
22	34	113
23	35	112
24	36	110
25	38	108
26	39	106
27	41	105
28	42	103
29	43	101
30	44	99
31	46	98
32	47	96
33	48	94
34	50	92
35	51	91
36	52	89
37	54	88
38	56	87
39	57	86
40	58	84
41	59	82
42	60	80
43	62	78
44	63	77
45	64	75
46	65	74
47	67	72
48	68	71
49	69	69
50	71	68
51	72	67
52	74	65
53	75	64
54	76	62
55	77	60
56	78	59
57	79	57
58	81	56
59	82	55
60	84	53
61	85	52
62	87	51
63	88	49
64	89	48
65	91	46
66	92	45
67	93	44
68	95	42
69	97	41
70	98	40
71	99	38
72	100	37
73	102	35
74	103	34
75	104	33
76	105	31
77	107	30
78	108	28
79	109	27
80	110	26
81	114	25
82	116	23
83	118	22
84	119	21
85	120	19
86	122	18
87	123	16
88	125	15
89	127	14
90	129	12
91	130	11
92	131	9
93	133	8
94	134	7
95	135	5
96	136	4
97	138	2
98	139	1
99	140	0
