iter	Passed	Remaining
0	180	180189
1	182	91254
2	184	61431
3	186	46487
4	188	37456
5	189	31432
6	191	27135
7	192	23912
8	194	21393
9	195	19384
10	197	17771
11	199	16446
12	201	15276
13	202	14275
14	203	13395
15	205	12620
16	206	11930
17	207	11317
18	208	10770
19	209	10272
20	210	9826
21	211	9422
22	213	9055
23	214	8720
24	215	8405
25	216	8109
26	217	7843
27	218	7585
28	219	7341
29	220	7113
30	220	6900
31	221	6699
32	222	6508
33	222	6329
34	223	6160
35	224	6001
36	224	5849
37	225	5705
38	226	5570
39	227	5457
40	228	5340
41	229	5229
42	229	5117
43	230	5009
44	231	4907
45	231	4808
46	232	4713
47	233	4622
48	233	4536
49	234	4453
50	235	4373
51	235	4296
52	236	4223
53	237	4153
54	237	4086
55	238	4020
56	239	3958
57	240	3898
58	240	3841
59	242	3793
60	243	3743
61	243	3691
62	244	3639
63	245	3589
64	246	3540
65	246	3494
66	247	3449
67	248	3405
68	249	3362
69	249	3320
70	250	3279
71	251	3239
72	252	3201
73	252	3164
74	253	3128
75	254	3093
76	255	3058
77	256	3027
78	257	2998
79	258	2971
80	259	2941
81	260	2910
82	260	2876
83	261	2847
84	261	2818
85	262	2791
86	263	2763
87	264	2737
88	264	2711
89	265	2685
90	266	2660
91	267	2636
92	267	2612
93	268	2588
94	269	2565
95	270	2543
96	270	2522
97	271	2501
98	272	2480
99	273	2460
100	274	2439
101	274	2419
102	275	2400
103	276	2380
104	277	2362
105	277	2343
106	278	2325
107	279	2307
108	280	2289
109	280	2272
110	281	2255
111	282	2238
112	283	2223
113	283	2207
114	284	2191
115	285	2175
116	286	2160
117	287	2146
118	288	2134
119	288	2119
120	289	2104
121	290	2089
122	291	2074
123	291	2061
124	292	2047
125	293	2033
126	293	2019
127	294	2006
128	295	1993
129	296	1980
130	296	1968
131	297	1956
132	298	1944
133	299	1932
134	299	1921
135	300	1910
136	301	1899
137	302	1889
138	303	1878
139	304	1867
140	304	1858
141	305	1846
142	306	1836
143	307	1826
144	308	1816
145	308	1806
146	309	1796
147	310	1786
148	311	1776
149	311	1767
150	312	1758
151	313	1749
152	314	1739
153	314	1730
154	315	1721
155	316	1712
156	317	1704
157	318	1696
158	319	1688
159	319	1679
160	320	1669
161	321	1661
162	321	1652
163	322	1644
164	323	1636
165	324	1628
166	324	1619
167	325	1612
168	326	1605
169	327	1598
170	328	1590
171	328	1583
172	329	1576
173	330	1569
174	331	1562
175	332	1555
176	333	1548
177	333	1541
178	334	1534
179	335	1527
180	336	1520
181	336	1514
182	337	1507
183	338	1500
184	339	1494
185	339	1487
186	340	1481
187	341	1474
188	342	1468
189	342	1462
190	343	1455
191	344	1449
192	345	1443
193	345	1437
194	346	1431
195	347	1425
196	348	1420
197	349	1414
198	349	1408
199	350	1402
200	351	1396
201	352	1391
202	352	1385
203	353	1379
204	354	1374
205	355	1369
206	356	1364
207	357	1360
208	358	1356
209	359	1352
210	361	1349
211	362	1346
212	363	1343
213	364	1338
214	365	1333
215	365	1328
216	366	1323
217	367	1318
218	368	1313
219	369	1308
220	369	1303
221	370	1298
222	371	1294
223	372	1289
224	372	1284
225	373	1280
226	374	1275
227	375	1270
228	376	1266
229	377	1262
230	378	1258
231	378	1254
232	379	1249
233	380	1245
234	381	1240
235	381	1236
236	382	1231
237	383	1227
238	384	1223
239	384	1219
240	385	1214
241	386	1210
242	387	1206
243	387	1201
244	388	1197
245	389	1193
246	390	1189
247	390	1185
248	391	1181
249	392	1177
250	393	1174
251	394	1170
252	395	1166
253	395	1162
254	396	1158
255	397	1154
256	398	1150
257	398	1146
258	399	1143
259	400	1139
260	401	1135
261	401	1131
262	402	1128
263	403	1124
264	404	1120
265	404	1116
266	405	1113
267	406	1109
268	407	1106
269	407	1102
270	408	1099
271	409	1096
272	410	1093
273	411	1089
274	412	1087
275	413	1083
276	413	1080
277	414	1076
278	415	1073
279	416	1070
280	416	1066
281	417	1063
282	418	1060
283	419	1056
284	419	1053
285	420	1050
286	421	1047
287	422	1044
288	423	1041
289	424	1038
290	424	1035
291	425	1032
292	426	1028
293	427	1025
294	428	1022
295	428	1019
296	429	1016
297	430	1013
298	431	1010
299	431	1007
300	432	1004
301	433	1001
302	433	998
303	434	995
304	435	992
305	436	989
306	437	986
307	438	984
308	439	981
309	439	979
310	440	976
311	441	973
312	442	970
313	442	967
314	443	964
315	444	961
316	445	958
317	445	955
318	446	953
319	447	950
320	447	947
321	448	944
322	449	942
323	450	939
324	451	936
325	451	934
326	453	932
327	454	930
328	454	927
329	455	925
330	456	922
331	457	920
332	458	918
333	459	915
334	459	912
335	460	910
336	461	907
337	462	904
338	462	902
339	463	899
340	464	897
341	465	894
342	465	892
343	466	889
344	467	887
345	468	885
346	469	883
347	470	880
348	470	878
349	471	875
350	472	873
351	472	870
352	473	868
353	474	865
354	475	863
355	475	860
356	476	858
357	477	855
358	478	853
359	479	851
360	479	849
361	480	846
362	481	844
363	482	842
364	483	841
365	485	840
366	486	838
367	486	836
368	487	834
369	488	831
370	489	829
371	490	827
372	491	825
373	492	823
374	492	821
375	493	819
376	494	817
377	495	815
378	496	813
379	497	811
380	498	810
381	499	808
382	500	806
383	501	804
384	502	802
385	503	800
386	503	798
387	504	796
388	505	794
389	506	792
390	507	790
391	508	788
392	509	787
393	510	785
394	511	783
395	512	781
396	513	780
397	515	779
398	516	777
399	517	775
400	518	773
401	519	772
402	519	770
403	520	768
404	521	766
405	522	764
406	523	762
407	523	759
408	524	757
409	525	755
410	526	753
411	526	751
412	528	750
413	529	749
414	530	747
415	531	745
416	531	743
417	532	741
418	533	739
419	534	737
420	535	735
421	535	734
422	536	732
423	537	730
424	538	728
425	539	726
426	540	725
427	541	723
428	542	721
429	543	720
430	544	718
431	545	716
432	546	715
433	547	713
434	548	712
435	549	711
436	550	709
437	551	707
438	552	705
439	552	703
440	553	701
441	554	699
442	555	698
443	556	696
444	557	694
445	558	693
446	558	691
447	559	689
448	560	688
449	561	686
450	562	684
451	562	682
452	563	680
453	564	678
454	565	677
455	565	675
456	566	673
457	567	671
458	568	670
459	569	668
460	570	666
461	570	664
462	571	662
463	572	661
464	573	660
465	574	658
466	575	656
467	576	654
468	576	653
469	577	651
470	578	649
471	579	647
472	580	646
473	580	644
474	581	642
475	582	641
476	583	639
477	583	637
478	584	635
479	585	634
480	586	632
481	586	630
482	587	629
483	588	627
484	589	626
485	590	624
486	591	623
487	592	621
488	593	619
489	594	618
490	595	616
491	595	615
492	596	613
493	597	612
494	598	610
495	599	608
496	599	607
497	600	605
498	601	603
499	602	602
500	603	600
501	604	599
502	604	597
503	605	596
504	606	594
505	607	593
506	608	591
507	609	590
508	610	588
509	610	586
510	611	585
511	612	583
512	613	582
513	613	580
514	614	578
515	615	577
516	616	575
517	616	574
518	617	572
519	619	571
520	620	570
521	621	568
522	622	567
523	623	565
524	623	564
525	624	563
526	625	561
527	626	560
528	627	558
529	628	557
530	629	555
531	629	554
532	630	552
533	631	550
534	632	549
535	633	548
536	634	547
537	635	545
538	636	544
539	637	542
540	638	541
541	639	540
542	639	538
543	640	537
544	641	535
545	642	533
546	642	532
547	643	530
548	644	529
549	645	527
550	646	526
551	646	525
552	647	523
553	648	522
554	649	521
555	650	519
556	652	518
557	653	517
558	653	515
559	654	514
560	655	512
561	656	511
562	656	509
563	657	508
564	658	506
565	659	505
566	660	504
567	660	502
568	661	501
569	662	499
570	664	498
571	664	497
572	665	496
573	666	494
574	667	493
575	667	491
576	668	490
577	669	488
578	670	487
579	671	486
580	672	484
581	672	483
582	673	481
583	674	480
584	675	478
585	675	477
586	676	475
587	677	475
588	678	473
589	679	472
590	680	470
591	681	469
592	682	468
593	682	466
594	683	465
595	684	463
596	685	462
597	686	461
598	686	459
599	687	458
600	688	457
601	689	455
602	690	454
603	690	452
604	691	451
605	692	450
606	693	449
607	694	447
608	695	446
609	696	445
610	697	443
611	697	442
612	698	441
613	699	439
614	700	438
615	701	437
616	701	435
617	702	434
618	703	433
619	704	431
620	705	430
621	706	429
622	706	427
623	707	426
624	709	425
625	710	424
626	711	423
627	711	421
628	712	420
629	713	419
630	714	417
631	714	416
632	715	414
633	716	413
